ctest_upload,FILES|-1,QUIET|0:CAPTURE_CMAKE_ERROR|1,
define_property,GLOBAL|0:DIRECTORY|0:TARGET|0:SOURCE|0:TEST|0:VARIABLE|0:CACHED_VARIABLE|0,PROPERTY|1,INHERITED|0:BRIEF_DOCS|-1:FULL_DOCS|-1:INITIALIZE_FROM_VARIABLE:1
enable_language,_,OPTIONAL|0,
enable_testing,_,,
exec_program,_,ARGS|-1:OUTPUT_VARIABLE|1:RETURN_VALUE|1,
execute_process,COMMAND|-1,COMMAND|-1:WORKING_DIRECTORY|1:TIMEOUT|1:RESULT_VARIABLE|1:RESULTS_VARIABLE|1:OUTPUT_VARIABLE|1:ERROR_VARIABLE|1:INPUT_FILE|1:OUTPUT_FILE|1:ERROR_FILE|1:OUTPUT_QUIET|0:ERROR_QUIET|0:COMMAND_ECHO|1:OUTPUT_STRIP_TRAILING_WHITESPACE|0:ERROR_STRIP_TRAILING_WHITESPACE|0:ENCODING|1:ECHO_OUTPUT_VARIABLE|0:ECHO_ERROR_VARIABLE|0:COMMAND_ERROR_IS_FATAL|1,
export,TARGETS|-1,NAMESPACE|1:APPEND|0:FILE|1:EXPORT_LINK_INTERFACE_LIBRARIES|0:CXX_MODULES_DIRECTORY|1:ANDROID_MK|1,
export,EXPORT|1,NAMESPACE|1:FILE|1:CXX_MODULES_DIRECTORY|1:EXPORT_PACKAGE_DEPENDENCIES|0:PACKAGE_INFO|1:PROJECT|1:NO_PROJECT_METADATA|0:APPENDIX|1:LOWER_CASE_FILE|0:VERSION|1:COMPAT_VERSION|1:VERSION_SCHEMA|1:DEFAULT_TARGETS|-1:DEFAULT_CONFIGURATIONS|-1:DESCRIPTION|1:HOMEPAGE_URL|1,
export,PACKAGE|1,,
export,SETUP|1,PACKAGE_DEPENDENCY|1:ENABLED|1:EXTRA_ARGS|-1:TARGET|1:XCFRAMEWORK_LOCATION|1,
export_library_dependencies,_,APPEND|0,
file,READ|2,OFFSET|1:LIMIT|1:HEX|0,
file,STRINGS|2,LENGTH_MAXIMUM|1:LENGTH_MINIMUM|1:LIMIT_COUNT|1:LIMIT_INPUT|1:LIMIT_OUTPUT|1:NEWLINE_CONSUME|0:NO_HEX_CONVERSION|0:REGEX|1:ENCODING|1,
file,MD5|2:SHA1|2:SHA224|2:SHA256|2:SHA384|2:SHA512|2:SHA3_224|2:SHA3_256|2:SHA3_384|2:SHA3_512|2,,
file,TIMESTAMP|-1,UTC|0,
file,WRITE|-1:APPEND|-1:TOUCH|-1:TOUCH_NOCREATE|-1,,
